,pitches,player_id,player_name,total_pitches,pitch_percent,xwoba,xba,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,vertical_release_point_ft
0,139,661403,"Clase, Emmanuel",1057,13.2,0.13,0.13,139,84.4,0.0,2562,94.0,97.95,45,135,4,-0.1,6.45,6.18
1,26,544727,"Familia, Jeurys",1017,2.6,0.061,0.055,26,87.4,19.0,2254,95.6,94.83,10,22,4,-0.8,5.82,6.13
2,119,605447,"Romano, Jordan",1031,11.5,0.084,0.076,118,84.8,14.6,2295,93.6,95.98,45,103,16,1.4,7.14,6.2
3,124,642397,"Soto, Gregory",1131,11.0,0.133,0.117,124,87.7,13.0,2379,94.3,94.48,36,114,10,0.2,6.8,5.62
4,48,570663,"Robles, Hansel",1185,4.1,0.172,0.163,48,88.7,10.2,2086,94.3,94.24,12,45,3,-0.1,6.14,5.36
5,64,608032,"Estévez, Carlos",1007,6.4,0.165,0.153,62,88.9,7.4,2055,94.1,94.52,14,56,8,0.4,6.4,5.81
6,157,547973,"Chapman, Aroldis",1004,15.6,0.094,0.082,155,83.0,9.3,2047,100.0,94.95,77,141,16,1.6,7.26,6.13
7,49,605242,"Fulmer, Michael",1183,4.1,0.085,0.074,48,82.6,19.4,2333,93.3,93.86,16,46,3,0.6,6.52,6.18
8,152,521230,"Hendriks, Liam",1131,13.4,0.098,0.084,152,87.6,21.2,2296,98.0,94.3,74,144,8,1.1,6.87,5.9
9,136,621052,"Reyes, Alex",1249,10.9,0.115,0.108,136,83.4,22.1,2387,92.9,91.91,44,126,10,-1.0,6.01,6.16
10,30,543507,"May, Trevor",1117,2.7,0.085,0.08,30,86.7,21.5,2214,92.9,94.03,11,28,2,1.1,6.99,5.69
11,110,518886,"Kimbrel, Craig",1008,10.9,0.091,0.087,109,86.6,16.8,2406,92.5,92.92,45,94,16,0.4,6.54,4.82
12,42,614179,"Ruiz, José",1037,4.1,0.211,0.179,42,90.7,18.6,2305,92.5,92.07,11,37,5,-0.4,6.05,6.15
13,50,640448,"Finnegan, Kyle",1209,4.1,0.108,0.103,49,81.9,0.6,1911,92.4,93.15,15,49,1,0.7,6.57,5.75
14,47,622251,"Staumont, Josh",1096,4.3,0.151,0.121,47,90.7,18.4,2448,92.4,92.97,13,43,4,0.6,6.66,6.29
15,133,642152,"Trivino, Lou",1177,11.3,0.128,0.114,131,84.1,13.0,2033,92.3,92.83,26,118,15,0.5,6.59,5.91
16,35,643338,"Green, Chad",1312,2.7,0.114,0.105,35,83.4,26.4,2505,92.3,92.77,12,32,3,0.5,6.64,6.14
17,37,622250,"Sborz, Josh",1079,3.4,0.097,0.092,35,90.9,37.0,2199,92.2,91.48,12,33,4,-0.7,5.93,6.42
18,161,628452,"Iglesias, Raisel",1059,15.2,0.077,0.071,160,82.0,12.9,2265,97.0,91.13,72,148,13,-1.0,6.07,5.46
19,69,608716,"Steckenrider, Drew",1008,6.8,0.141,0.136,68,87.9,17.4,2221,92.0,91.33,16,64,5,-0.7,5.99,6.19
20,39,622253,"Tate, Dillon",1042,3.7,0.147,0.133,39,87.6,4.8,2040,91.9,91.89,12,38,1,0.0,6.23,5.4
21,127,453268,"Bard, Daniel",1217,10.4,0.091,0.092,127,85.5,15.3,2834,91.8,89.9,45,115,12,-1.9,6.15,5.45
