,pitches,player_id,player_name,total_pitches,pitch_percent,xwoba,xba,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,horizontal_release_point_ft,absolute_value_horizontal_release_point
0,140,518617,"Diekman, Jake",1118,12.5,0.137,0.111,140,88.8,16.9,2380,91.6,88.25,55,126,14,-3.4,6.36,3.28,3.28
1,160,608718,"Suter, Brent",1221,13.1,0.127,0.122,159,80.5,5.6,2151,86.6,87.23,37,150,10,0.6,7.18,2.8,2.8
2,113,621368,"Hearn, Taylor",1726,6.5,0.149,0.141,113,85.3,17.6,2173,92.2,87.84,29,103,10,-4.4,6.19,2.65,2.65
3,100,592662,"Ray, Robbie",3141,3.2,0.105,0.098,99,85.7,19.9,2222,91.7,91.9,37,87,13,0.2,6.43,2.52,2.52
4,128,656945,"Scott, Tanner",1032,12.4,0.142,0.131,125,89.1,5.2,2649,91.4,91.45,41,112,16,0.0,6.22,2.49,2.49
5,154,554431,"Matzek, Tyler",1065,14.5,0.109,0.101,150,87.7,15.3,2570,92.9,92.96,49,139,15,0.1,6.34,1.85,1.85
6,116,606424,"García, Jarlín",1002,11.6,0.122,0.115,115,86.3,9.3,2205,88.6,84.98,28,101,15,-3.6,6.44,1.6,1.6
7,122,592761,"Smith, Caleb",2067,5.9,0.113,0.103,122,82.6,27.2,2348,86.9,85.06,36,109,13,-1.8,5.7,1.57,1.57
8,148,641394,"Brentz, Jake",1106,13.4,0.12,0.106,146,85.5,3.4,2148,92.7,93.14,41,129,19,0.4,6.42,1.43,1.43
9,176,650893,"Cabrera, Génesis",1195,14.7,0.122,0.113,172,84.4,13.6,2207,93.8,92.8,49,159,17,-1.0,6.03,1.17,1.17
10,117,621237,"Alvarado, José",1045,11.2,0.132,0.123,117,85.4,0.8,2131,97.9,98.71,42,109,8,0.8,6.8,0.9,0.9
11,147,573204,"Thielbar, Caleb",1106,13.3,0.116,0.105,144,82.0,23.6,2357,84.7,84.63,45,131,16,-0.1,6.25,0.56,0.56
12,136,476595,"Luetge, Lucas",1241,11.0,0.166,0.16,135,85.3,15.5,2629,84.2,83.67,40,129,7,-0.5,6.3,0.43,0.43
