,pitches,player_id,player_name,total_pitches,pitch_percent,xwoba,xba,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,vertical_release_point_ft,horizontal_release_point_ft
0,311,571760,"Heaney, Andrew",2330,13.3,0.121,0.105,307,86.8,20.3,2371,87.1,86.59,105,292,19,-0.5,6.13,3.42,-3.42
1,444,640455,"Manaea, Sean",2980,14.9,0.137,0.128,442,86.7,13.0,1822,88.9,90.37,141,416,28,1.5,7.2,3.31,-3.31
2,359,518516,"Bumgarner, Madison",2294,15.6,0.136,0.115,349,85.1,20.3,2302,85.3,85.29,83,332,27,0.0,6.54,3.31,-3.31
3,395,669373,"Skubal, Tarik",2547,15.5,0.173,0.15,390,87.0,14.6,2052,90.5,90.04,130,371,24,-0.5,6.23,2.99,-2.99
4,378,642232,"Yarbrough, Ryan",2488,15.2,0.157,0.149,371,80.3,17.5,2101,78.9,78.46,84,361,17,-0.4,6.65,2.92,-2.92
5,29,608718,"Suter, Brent",1221,2.4,0.099,0.098,28,78.4,-6.9,2114,85.6,87.15,10,27,2,1.5,7.16,2.83,-2.83
6,136,456034,"Price, David",1178,11.5,0.157,0.147,132,82.2,5.8,1915,89.7,89.34,29,130,6,-0.4,5.95,2.79,-2.79
7,222,676596,"Fleming, Josh",1629,13.6,0.159,0.15,218,82.7,-1.2,1755,87.0,87.22,50,216,6,0.2,6.47,2.59,-2.59
8,166,621368,"Hearn, Taylor",1726,9.6,0.172,0.155,161,85.6,16.7,2175,91.3,90.71,35,154,12,-0.6,6.26,2.53,-2.53
9,459,592662,"Ray, Robbie",3141,14.6,0.124,0.108,457,88.1,20.4,2220,92.4,92.56,162,423,36,0.2,6.43,2.53,-2.53
10,185,624133,"Suárez, Ranger",1614,11.5,0.134,0.131,183,83.3,4.1,1787,90.8,90.52,41,166,19,-0.3,6.17,2.47,-2.47
11,366,452657,"Lester, Jon",2380,15.4,0.149,0.14,356,84.1,7.5,2108,85.4,85.85,55,337,29,0.5,6.43,2.46,-2.46
12,347,594835,"Gonzales, Marco",2324,14.9,0.162,0.145,344,83.8,20.9,2173,83.5,83.66,75,330,17,0.2,6.38,2.45,-2.45
13,235,669211,"Akin, Keegan",1768,13.3,0.165,0.138,232,87.3,18.8,2246,88.2,87.38,54,216,19,-0.8,5.91,2.42,-2.42
14,226,660761,"Suarez, José",1650,13.7,0.161,0.151,224,84.1,7.9,2068,85.7,85.37,59,217,9,-0.3,6.19,2.41,-2.41
15,428,542881,"Anderson, Tyler",2602,16.4,0.156,0.14,413,81.5,18.4,2224,86.3,85.66,103,415,13,-0.6,5.97,2.38,-2.38
16,121,500779,"Quintana, José",1240,9.8,0.114,0.104,119,85.0,13.0,1979,87.8,87.31,47,108,13,-0.5,6.53,2.29,-2.29
17,189,571510,"Boyd, Matthew",1273,14.8,0.141,0.129,185,84.2,19.3,2229,85.6,85.37,45,176,13,-0.2,6.22,2.25,-2.25
18,412,547943,"Ryu, Hyun Jin",2689,15.3,0.156,0.138,409,86.0,10.9,1891,84.2,84.28,89,374,38,0.1,6.48,2.24,-2.24
19,420,571578,"Corbin, Patrick",2750,15.3,0.169,0.157,406,83.7,5.4,2142,87.3,88.12,103,398,22,0.8,6.75,2.23,-2.23
20,234,666200,"Luzardo, Jesús",1727,13.5,0.151,0.138,228,86.9,14.5,2169,89.9,87.76,67,219,15,-2.1,5.57,2.22,-2.22
21,271,663465,"Allard, Kolby",2054,13.2,0.146,0.133,269,85.7,15.8,2012,87.5,87.21,57,254,17,-0.3,6.08,2.19,-2.19
22,385,579328,"Kikuchi, Yusei",2562,15.0,0.156,0.14,383,88.5,5.8,2187,89.5,90.36,113,361,24,0.9,6.68,2.19,-2.19
23,346,669432,"Rogers, Trevor",2169,16.0,0.128,0.121,338,83.6,12.0,2003,90.4,90.88,108,315,31,0.5,6.66,2.17,-2.17
24,347,607074,"Rodón, Carlos",2219,15.6,0.096,0.09,341,86.1,21.2,2310,91.3,90.97,131,313,34,-0.3,6.07,2.11,-2.11
25,211,641302,"Alexander, Tyler",1640,12.9,0.137,0.128,208,85.5,21.8,2096,86.6,86.73,43,195,16,0.1,6.25,2.06,-2.06
26,352,622072,"Wood, Alex",2195,16.0,0.144,0.136,351,87.5,6.9,2015,87.1,86.06,103,325,27,-1.0,6.24,2.05,-2.05
27,335,605483,"Snell, Blake",2347,14.3,0.153,0.128,331,85.5,11.0,2349,90.2,90.83,119,301,34,0.6,6.77,1.94,-1.94
28,391,571927,"Matz, Steven",2557,15.3,0.14,0.133,390,85.1,7.5,2217,88.9,89.24,91,352,39,0.3,6.47,1.9,-1.9
29,332,592767,"Smyly, Drew",2139,15.5,0.148,0.135,324,84.0,15.3,2078,85.6,84.8,92,313,19,-0.8,5.73,1.9,-1.9
30,293,596295,"Gomber, Austin",1851,15.8,0.137,0.131,289,84.3,11.9,2114,85.7,85.69,72,267,26,0.0,6.67,1.89,-1.89
31,141,656529,"Hentges, Sam",1260,11.2,0.156,0.138,138,86.5,10.1,2270,88.1,88.78,31,130,11,0.7,6.7,1.86,-1.86
32,394,457918,"Happ, J.A.",2674,14.7,0.176,0.145,390,87.7,18.1,2163,88.8,88.5,82,367,27,-0.3,6.07,1.84,-1.84
33,301,607536,"Freeland, Kyle",1886,16.0,0.131,0.12,297,84.6,11.0,2279,86.9,87.66,66,274,27,0.8,6.51,1.81,-1.81
34,291,641778,"Lauer, Eric",1956,14.9,0.154,0.134,283,86.0,17.3,2221,88.5,83.92,73,269,22,-4.6,6.0,1.8,-1.8
35,380,489119,"Miley, Wade",2592,14.7,0.146,0.135,370,79.7,1.9,2133,85.2,84.89,76,353,27,-0.3,6.1,1.78,-1.78
36,228,677960,"Weathers, Ryan",1617,14.1,0.172,0.157,223,85.7,11.1,2092,91.3,90.46,42,210,18,-0.8,5.74,1.77,-1.77
37,197,663776,"Sandoval, Patrick",1444,13.6,0.123,0.116,195,81.8,4.5,2013,88.0,87.23,62,187,10,-0.8,6.03,1.76,-1.76
