pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,vertical_release_point_ft
311,571760,"Heaney, Andrew",2330,13.3,0,0,0,0,0,0.121,0.105,0,307,86.8,20.3,2371,87.1,86.59,105,292,19,-0.5,6.13,112,156,122,148,303,324,293,3.42
444,640455,"Manaea, Sean",2980,14.9,0,0,0,0,0,0.137,0.128,0,442,86.7,13,1822,88.9,90.37,141,416,28,1.5,7.2,110,151,123,150,300,326,299,3.31
359,518516,"Bumgarner, Madison",2294,15.6,0,0,0,0,0,0.136,0.115,0,349,85.1,20.3,2302,85.3,85.29,83,332,27,0,6.54,110,153,120,149,298,326,294,3.31
395,669373,"Skubal, Tarik",2547,15.5,0,0,0,0,0,0.173,0.15,0,390,87,14.6,2052,90.5,90.04,130,371,24,-0.5,6.23,108,154,121,148,300,327,296,2.99
378,642232,"Yarbrough, Ryan",2488,15.2,0,0,0,0,0,0.157,0.149,0,371,80.3,17.5,2101,78.9,78.46,84,361,17,-0.4,6.65,106,152,116,149,299,320,290,2.92
29,608718,"Suter, Brent",1221,2.4,0,0,0,0,0,0.099,0.098,0,28,78.4,-6.9,2114,85.6,87.15,10,27,2,1.5,7.16,102,150,115,144,299,320,294,2.83
136,456034,"Price, David",1178,11.5,0,0,0,0,0,0.157,0.147,0,132,82.2,5.8,1915,89.7,89.34,29,130,6,-0.4,5.95,112,155,116,150,300,316,290,2.79
222,676596,"Fleming, Josh",1629,13.6,0,0,0,0,0,0.159,0.15,0,218,82.7,-1.2,1755,87,87.22,50,216,6,0.2,6.47,105,153,117,148,303,318,290,2.59
166,621368,"Hearn, Taylor",1726,9.6,0,0,0,0,0,0.172,0.155,0,161,85.6,16.7,2175,91.3,90.71,35,154,12,-0.6,6.26,115,154,126,146,303,322,293,2.53
459,592662,"Ray, Robbie",3141,14.6,0,0,0,0,0,0.124,0.108,0,457,88.1,20.4,2220,92.4,92.56,162,423,36,0.2,6.43,107,154,122,147,298,319,289,2.53
185,624133,"Suárez, Ranger",1614,11.5,0,0,0,0,0,0.134,0.131,0,183,83.3,4.1,1787,90.8,90.52,41,166,19,-0.3,6.17,106,151,113,147,296,321,286,2.47
366,452657,"Lester, Jon",2380,15.4,0,0,0,0,0,0.149,0.14,0,356,84.1,7.5,2108,85.4,85.85,55,337,29,0.5,6.43,110,152,117,148,302,320,292,2.46
347,594835,"Gonzales, Marco",2324,14.9,0,0,0,0,0,0.162,0.145,0,344,83.8,20.9,2173,83.5,83.66,75,330,17,0.2,6.38,109,154,117,147,297,319,289,2.45
235,669211,"Akin, Keegan",1768,13.3,0,0,0,0,0,0.165,0.138,0,232,87.3,18.8,2246,88.2,87.38,54,216,19,-0.8,5.91,108,153,123,148,298,325,292,2.42
226,660761,"Suarez, José",1650,13.7,0,0,0,0,0,0.161,0.151,0,224,84.1,7.9,2068,85.7,85.37,59,217,9,-0.3,6.19,112,154,120,148,302,325,294,2.41
428,542881,"Anderson, Tyler",2602,16.4,0,0,0,0,0,0.156,0.14,0,413,81.5,18.4,2224,86.3,85.66,103,415,13,-0.6,5.97,107,152,118,147,299,320,286,2.38
121,500779,"Quintana, José",1240,9.8,0,0,0,0,0,0.114,0.104,0,119,85,13,1979,87.8,87.31,47,108,13,-0.5,6.53,112,154,119,151,305,322,298,2.29
189,571510,"Boyd, Matthew",1273,14.8,0,0,0,0,0,0.141,0.129,0,185,84.2,19.3,2229,85.6,85.37,45,176,13,-0.2,6.22,104,151,119,145,301,328,297,2.25
412,547943,"Ryu, Hyun Jin",2689,15.3,0,0,0,0,0,0.156,0.138,0,409,86,10.9,1891,84.2,84.28,89,374,38,0.1,6.48,107,154,119,148,299,317,289,2.24
420,571578,"Corbin, Patrick",2750,15.3,0,0,0,0,0,0.169,0.157,0,406,83.7,5.4,2142,87.3,88.12,103,398,22,0.8,6.75,108,151,116,147,303,321,288,2.23
234,666200,"Luzardo, Jesús",1727,13.5,0,0,0,0,0,0.151,0.138,0,228,86.9,14.5,2169,89.9,87.76,67,219,15,-2.1,5.57,107,149,120,149,300,318,285,2.22
271,663465,"Allard, Kolby",2054,13.2,0,0,0,0,0,0.146,0.133,0,269,85.7,15.8,2012,87.5,87.21,57,254,17,-0.3,6.08,111,155,125,146,303,325,293,2.19
385,579328,"Kikuchi, Yusei",2562,15,0,0,0,0,0,0.156,0.14,0,383,88.5,5.8,2187,89.5,90.36,113,361,24,0.9,6.68,110,154,118,147,300,325,291,2.19
346,669432,"Rogers, Trevor",2169,16,0,0,0,0,0,0.128,0.121,0,338,83.6,12,2003,90.4,90.88,108,315,31,0.5,6.66,105,149,117,147,299,314,283,2.17
347,607074,"Rodón, Carlos",2219,15.6,0,0,0,0,0,0.096,0.09,0,341,86.1,21.2,2310,91.3,90.97,131,313,34,-0.3,6.07,109,151,116,147,298,319,295,2.11
211,641302,"Alexander, Tyler",1640,12.9,0,0,0,0,0,0.137,0.128,0,208,85.5,21.8,2096,86.6,86.73,43,195,16,0.1,6.25,108,154,121,148,296,323,295,2.06
352,622072,"Wood, Alex",2195,16,0,0,0,0,0,0.144,0.136,0,351,87.5,6.9,2015,87.1,86.06,103,325,27,-1,6.24,110,153,116,148,299,321,289,2.05
335,605483,"Snell, Blake",2347,14.3,0,0,0,0,0,0.153,0.128,0,331,85.5,11,2349,90.2,90.83,119,301,34,0.6,6.77,114,153,126,147,300,322,309,1.94
391,571927,"Matz, Steven",2557,15.3,0,0,0,0,0,0.14,0.133,0,390,85.1,7.5,2217,88.9,89.24,91,352,39,0.3,6.47,106,154,121,147,296,318,286,1.9
332,592767,"Smyly, Drew",2139,15.5,0,0,0,0,0,0.148,0.135,0,324,84,15.3,2078,85.6,84.8,92,313,19,-0.8,5.73,107,151,120,147,301,318,289,1.9
293,596295,"Gomber, Austin",1851,15.8,0,0,0,0,0,0.137,0.131,0,289,84.3,11.9,2114,85.7,85.69,72,267,26,0,6.67,108,153,120,146,298,328,299,1.89
141,656529,"Hentges, Sam",1260,11.2,0,0,0,0,0,0.156,0.138,0,138,86.5,10.1,2270,88.1,88.78,31,130,11,0.7,6.7,111,151,117,148,294,317,286,1.86
394,457918,"Happ, J.A.",2674,14.7,0,0,0,0,0,0.176,0.145,0,390,87.7,18.1,2163,88.8,88.5,82,367,27,-0.3,6.07,107,154,119,148,299,325,295,1.84
301,607536,"Freeland, Kyle",1886,16,0,0,0,0,0,0.131,0.12,0,297,84.6,11,2279,86.9,87.66,66,274,27,0.8,6.51,108,152,122,145,297,325,299,1.81
291,641778,"Lauer, Eric",1956,14.9,0,0,0,0,0,0.154,0.134,0,283,86,17.3,2221,88.5,83.92,73,269,22,-4.6,6,107,153,119,147,301,321,296,1.8
380,489119,"Miley, Wade",2592,14.7,0,0,0,0,0,0.146,0.135,0,370,79.7,1.9,2133,85.2,84.89,76,353,27,-0.3,6.1,109,150,116,145,295,318,283,1.78
228,677960,"Weathers, Ryan",1617,14.1,0,0,0,0,0,0.172,0.157,0,223,85.7,11.1,2092,91.3,90.46,42,210,18,-0.8,5.74,112,152,129,146,301,321,309,1.77
197,663776,"Sandoval, Patrick",1444,13.6,0,0,0,0,0,0.123,0.116,0,195,81.8,4.5,2013,88,87.23,62,187,10,-0.8,6.03,108,156,119,150,302,324,295,1.76
408,593958,"Rodriguez, Eduardo",2721,15,0,0,0,0,0,0.117,0.111,0,404,82.7,11.2,2071,88.9,88.54,113,349,59,-0.4,6.08,109,155,121,148,295,328,292,1.75
411,656756,"Montgomery, Jordan",2570,16,0,0,0,0,0,0.141,0.132,0,403,85.2,13.5,2085,85.4,85.73,131,396,15,0.3,6.58,108,153,122,147,298,324,288,1.72
418,448179,"Hill, Rich",2496,16.7,0,0,0,0,0,0.149,0.131,0,410,83.8,18.3,2501,79.3,78.69,98,381,37,-0.6,6.2,105,155,118,148,302,321,293,1.69
435,608344,"Irvin, Cole",2682,16.2,0,0,0,0,0,0.186,0.164,0,429,86.5,16.9,1845,87.5,87,71,408,27,-0.5,6.22,109,150,121,148,303,327,298,1.67
45,606424,"García, Jarlín",1002,4.5,0,0,0,0,0,0.181,0.161,0,42,83.9,10.6,2189,88.7,89.08,8,39,6,0.4,6.44,111,152,115,148,293,320,293,1.67
202,592761,"Smith, Caleb",2067,9.8,0,0,0,0,0,0.121,0.106,0,201,84.5,27.3,2347,86.6,85.54,49,179,23,-1.1,5.69,110,153,121,149,300,324,296,1.66
468,628711,"Urías, Julio",2786,16.8,0,0,0,0,0,0.13,0.118,0,459,82.1,16,2507,88.2,87.26,127,426,42,-0.9,5.64,110,155,117,149,299,315,288,1.57
