pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,vertical_release_point_ft
139,661403,"Clase, Emmanuel",1057,13.2,0,0,0,0,0,0.13,0.13,0,139,84.4,0,2562,94,97.95,45,135,4,-0.1,6.45,116,152,122,150,289,315,290,6.18
26,544727,"Familia, Jeurys",1017,2.6,0,0,0,0,0,0.061,0.055,0,26,87.4,19,2254,95.6,94.83,10,22,4,-0.8,5.82,115,157,123,149,295,322,297,6.13
119,605447,"Romano, Jordan",1031,11.5,0,0,0,0,0,0.084,0.076,0,118,84.8,14.6,2295,93.6,95.98,45,103,16,1.4,7.14,111,153,123,149,292,319,290,6.2
124,642397,"Soto, Gregory",1131,11,0,0,0,0,0,0.133,0.117,0,124,87.7,13,2379,94.3,94.48,36,114,10,0.2,6.8,109,153,121,149,299,329,299,5.62
48,570663,"Robles, Hansel",1185,4.1,0,0,0,0,0,0.172,0.163,0,48,88.7,10.2,2086,94.3,94.24,12,45,3,-0.1,6.14,112,155,122,147,299,332,298,5.36
64,608032,"Estévez, Carlos",1007,6.4,0,0,0,0,0,0.165,0.153,0,62,88.9,7.4,2055,94.1,94.52,14,56,8,0.4,6.4,110,149,123,146,302,332,305,5.81
157,547973,"Chapman, Aroldis",1004,15.6,0,0,0,0,0,0.094,0.082,0,155,83,9.3,2047,100,94.95,77,141,16,1.6,7.26,112,153,120,148,299,324,287,6.13
49,605242,"Fulmer, Michael",1183,4.1,0,0,0,0,0,0.085,0.074,0,48,82.6,19.4,2333,93.3,93.86,16,46,3,0.6,6.52,108,154,123,148,302,331,301,6.18
152,521230,"Hendriks, Liam",1131,13.4,0,0,0,0,0,0.098,0.084,0,152,87.6,21.2,2296,98,94.3,74,144,8,1.1,6.87,116,153,120,151,299,319,297,5.9
136,621052,"Reyes, Alex",1249,10.9,0,0,0,0,0,0.115,0.108,0,136,83.4,22.1,2387,92.9,91.91,44,126,10,-1,6.01,116,156,120,148,298,321,303,6.16
30,543507,"May, Trevor",1117,2.7,0,0,0,0,0,0.085,0.08,0,30,86.7,21.5,2214,92.9,94.03,11,28,2,1.1,6.99,107,155,116,148,303,326,303,5.69
110,518886,"Kimbrel, Craig",1008,10.9,0,0,0,0,0,0.091,0.087,0,109,86.6,16.8,2406,92.5,92.92,45,94,16,0.4,6.54,116,158,123,152,296,322,302,4.82
42,614179,"Ruiz, José",1037,4.1,0,0,0,0,0,0.211,0.179,0,42,90.7,18.6,2305,92.5,92.07,11,37,5,-0.4,6.05,117,151,121,150,296,318,297,6.15
50,640448,"Finnegan, Kyle",1209,4.1,0,0,0,0,0,0.108,0.103,0,49,81.9,0.6,1911,92.4,93.15,15,49,1,0.7,6.57,107,153,120,142,300,324,296,5.75
47,622251,"Staumont, Josh",1096,4.3,0,0,0,0,0,0.151,0.121,0,47,90.7,18.4,2448,92.4,92.97,13,43,4,0.6,6.66,108,160,120,146,297,322,299,6.29
133,642152,"Trivino, Lou",1177,11.3,0,0,0,0,0,0.128,0.114,0,131,84.1,13,2033,92.3,92.83,26,118,15,0.5,6.59,112,148,119,149,302,328,301,5.91
35,643338,"Green, Chad",1312,2.7,0,0,0,0,0,0.114,0.105,0,35,83.4,26.4,2505,92.3,92.77,12,32,3,0.5,6.64,114,156,123,148,296,324,289,6.14
37,622250,"Sborz, Josh",1079,3.4,0,0,0,0,0,0.097,0.092,0,35,90.9,37,2199,92.2,91.48,12,33,4,-0.7,5.93,111,152,126,146,299,327,296,6.42
161,628452,"Iglesias, Raisel",1059,15.2,0,0,0,0,0,0.077,0.071,0,160,82,12.9,2265,97,91.13,72,148,13,-1,6.07,116,157,123,151,302,325,297,5.46
69,608716,"Steckenrider, Drew",1008,6.8,0,0,0,0,0,0.141,0.136,0,68,87.9,17.4,2221,92,91.33,16,64,5,-0.7,5.99,113,154,118,149,296,326,297,6.19
39,622253,"Tate, Dillon",1042,3.7,0,0,0,0,0,0.147,0.133,0,39,87.6,4.8,2040,91.9,91.89,12,38,1,0,6.23,113,154,123,148,295,320,294,5.4
127,453268,"Bard, Daniel",1217,10.4,0,0,0,0,0,0.091,0.092,0,127,85.5,15.3,2834,91.8,89.9,45,115,12,-1.9,6.15,112,150,121,146,302,333,306,5.45
28,676477,"Whitlock, Garrett",1150,2.4,0,0,0,0,0,0.155,0.139,0,28,89.5,7.4,2074,94.5,93.42,12,28,0,1.7,7.2,111,154,124,146,287,322,297,5.5
