pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,horizontal_release_point_ft
140,518617,"Diekman, Jake",1118,12.5,0,0,0,0,0,0.137,0.111,0,140,88.8,16.9,2380,91.6,88.25,55,126,14,-3.4,6.36,110,150,125,150,300,326,300,3.28
160,608718,"Suter, Brent",1221,13.1,0,0,0,0,0,0.127,0.122,0,159,80.5,5.6,2151,86.6,87.23,37,150,10,0.6,7.18,109,154,120,147,299,323,298,2.8
113,621368,"Hearn, Taylor",1726,6.5,0,0,0,0,0,0.149,0.141,0,113,85.3,17.6,2173,92.2,87.84,29,103,10,-4.4,6.19,115,154,122,147,299,324,294,2.65
100,592662,"Ray, Robbie",3141,3.2,0,0,0,0,0,0.105,0.098,0,99,85.7,19.9,2222,91.7,91.9,37,87,13,0.2,6.43,107,154,122,147,297,319,289,2.52
128,656945,"Scott, Tanner",1032,12.4,0,0,0,0,0,0.142,0.131,0,125,89.1,5.2,2649,91.4,91.45,41,112,16,0,6.22,109,151,121,148,300,322,293,2.49
154,554431,"Matzek, Tyler",1065,14.5,0,0,0,0,0,0.109,0.101,0,150,87.7,15.3,2570,92.9,92.96,49,139,15,0.1,6.34,107,151,121,148,301,320,291,1.85
116,606424,"García, Jarlín",1002,11.6,0,0,0,0,0,0.122,0.115,0,115,86.3,9.3,2205,88.6,84.98,28,101,15,-3.6,6.44,110,155,118,149,296,321,295,1.6
122,592761,"Smith, Caleb",2067,5.9,0,0,0,0,0,0.113,0.103,0,122,82.6,27.2,2348,86.9,85.06,36,109,13,-1.8,5.7,110,152,121,150,298,326,298,1.57
148,641394,"Brentz, Jake",1106,13.4,0,0,0,0,0,0.12,0.106,0,146,85.5,3.4,2148,92.7,93.14,41,129,19,0.4,6.42,108,158,119,144,298,322,298,1.43
176,650893,"Cabrera, Génesis",1195,14.7,0,0,0,0,0,0.122,0.113,0,172,84.4,13.6,2207,93.8,92.8,49,159,17,-1,6.03,115,154,122,148,297,316,295,1.17
117,621237,"Alvarado, José",1045,11.2,0,0,0,0,0,0.132,0.123,0,117,85.4,0.8,2131,97.9,98.71,42,109,8,0.8,6.8,106,149,113,146,295,320,291,0.9
147,573204,"Thielbar, Caleb",1106,13.3,0,0,0,0,0,0.116,0.105,0,144,82,23.6,2357,84.7,84.63,45,131,16,-0.1,6.25,105,155,118,148,298,328,294,0.56
136,476595,"Luetge, Lucas",1241,11,0,0,0,0,0,0.166,0.16,0,135,85.3,15.5,2629,84.2,83.67,40,129,7,-0.5,6.3,110,152,121,146,298,323,285,0.43
164,592773,"Stanek, Ryne",1166,14.1,0,0,0,0,0,0.123,0.104,0,163,89,21,1960,93.6,92.79,56,150,14,-0.8,6.12,111,154,119,150,293,321,291,-0.47
174,641755,"Kinley, Tyler",1143,15.2,0,0,0,0,0,0.131,0.125,0,171,86.9,18.3,2493,92.7,91.37,43,161,13,-1.3,5.59,110,151,123,146,298,328,302,-0.66
133,570663,"Robles, Hansel",1185,11.2,0,0,0,0,0,0.138,0.12,0,132,87.8,12.5,2098,93.6,91.4,42,122,11,-2.2,6.12,106,154,118,149,296,329,296,-0.8
