"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2021-10-01","96.0","-3.15","4.66","Kimbrel, Craig",605612,518886,"field_out","hit_into_play",,,,,"2","Harold Castro flies out to center fielder Luis Robert.","R","L","R","CWS","DET","X","8","fly_ball","0","1",2021,"-0.8","1.09","0.05","2.96",,,,"2","8","Top",96.18,55.42,,,"518735",,,10.270404233458331,-139.41381823220752,-1.3315942324501062,-12.849800914132203,32.4405111648623,-17.944816439695185,"3.3","1.5","363","97.3","32","95.9","2339","6.4",632274,518886,"518735","547989","514917","660162","641313","571740","673357","544725","54.08","0.294","0.509","0","1","0","0","5","72","2","4-Seam Fastball","8","1","1","8","1","8","1","8","Infield shift","Standard","228","0","-0.085"
"FF","2021-10-01","96.5","-3.08","4.82","Kimbrel, Craig",605612,518886,,"called_strike",,,,,"6","Harold Castro flies out to center fielder Luis Robert.","R","L","R","CWS","DET","S",,,"0","0",2021,"-0.91","1.34","0.38","2.69",,,,"2","8","Top",,,,,"518735",,,11.259936665804592,-140.01172758360232,-3.084672617583653,-14.632779407230109,33.57393730760721,-14.028565174847126,"3.36","1.65",,,,"96","2369","6.3",632274,518886,"518735","547989","514917","660162","641313","571740","673357","544725","54.18",,,,,,,,"72","1","4-Seam Fastball","8","1","1","8","1","8","1","8","Infield shift","Standard","227","0","-0.018"
"FF","2021-10-01","94.8","-3.04","4.77","Kimbrel, Craig",408234,518886,"strikeout","swinging_strike",,,,,"1","Miguel Cabrera strikes out swinging.","R","R","R","CWS","DET","S","2",,"2","2",2021,"-0.84","1.15","-0.45","3.50",,,,"1","8","Top",,,,,"518735",,,8.676441964074808,-137.70309757018262,-0.15777979175161155,-12.701850663358318,34.07170492024424,-17.894026382347075,"3.55","1.63",,,,"94.6","2337","6.5",632274,518886,"518735","547989","514917","660162","641313","571740","673357","544725","53.96",,,"0","1","0","0",,"71","6","4-Seam Fastball","8","1","1","8","1","8","1","8","Standard","Standard","228","0.001","-0.142"
"KC","2021-10-01","86.7","-3.1","4.81","Kimbrel, Craig",408234,518886,,"ball",,,,,"14","Miguel Cabrera strikes out swinging.","R","R","R","CWS","DET","B",,,"1","2",2021,"1.13","-0.54","0.92","0.74",,,,"1","8","Top",,,,,"518735",,,7.315046741890758,-126.14350111477358,-2.488332763477374,10.709529067053113,23.761092729881195,-37.64116486105525,"3.52","1.87",,,,"87.1","2739","6.4",632274,518886,"518735","547989","514917","660162","641313","571740","673357","544725","54.12",,,,,,,,"71","5","Knuckle Curve","8","1","1","8","1","8","1","8","Standard","Standard","59","0","0.028"
"FF","2021-10-01","95.7","-3.03","4.79","Kimbrel, Craig",408234,518886,,"foul",,,,,"6","Miguel Cabrera strikes out swinging.","R","R","R","CWS","DET","S",,,"1","2",2021,"-0.86","1.26","0.68","2.36",,,,"1","8","Top",,,,,"518735",,,11.69609459699574,-138.852199133358,-3.6232361258819963,-13.709642182044524,30.346889094692777,-15.154218608803431,"3.55","1.63","328","92.4","33","95.6","2396","6.3",632274,518886,"518735","547989","514917","660162","641313","571740","673357","544725","54.16",,,,,,,,"71","4","4-Seam Fastball","8","1","1","8","1","8","1","8","Standard","Standard","228","0","0"
"FF","2021-10-01","97.4","-2.96","4.83","Kimbrel, Craig",408234,518886,,"foul",,,,,"12","Miguel Cabrera strikes out swinging.","R","R","R","CWS","DET","S",,,"1","1",2021,"-0.73","0.95","0.83","3.09",,,,"1","8","Top",,,,,"518735",,,11.854171219696205,-141.36379897389153,-1.3161645409360445,-12.405927022013218,30.899091570898154,-19.283803631751567,"3.55","1.63","321","96.6","22","97.6","2345","6.5",632274,518886,"518735","547989","514917","660162","641313","571740","673357","544725","54.04",,,,,,,,"71","3","4-Seam Fastball","8","1","1","8","1","8","1","8","Standard","Standard","227","0","-0.043"
"FF","2021-10-01","95.4","-3.13","4.83","Kimbrel, Craig",408234,518886,,"ball",,,,,"11","Miguel Cabrera strikes out swinging.","R","R","R","CWS","DET","B",,,"0","1",2021,"-0.84","1.19","-0.07","4.48",,,,"1","8","Top",,,,,"518735",,,10.000482844191794,-138.55358684931699,2.0833982799984594,-13.00009909535361,30.053404290762582,-17.55503460603187,"3.48","1.82",,,,"96.1","2268","6.8",632274,518886,"518735","547989","514917","660162","641313","571740","673357","544725","53.75",,,,,,,,"71","2","4-Seam Fastball","8","1","1","8","1","8","1","8","Standard","Standard","224","0","0.021"
"KC","2021-10-01","85.5","-2.98","5.01","Kimbrel, Craig",408234,518886,,"foul",,,,,"5","Miguel Cabrera strikes out swinging.","R","R","R","CWS","DET","S",,,"0","0",2021,"1.17","-0.45","0.14","2.34",,,,"1","8","Top",,,,,"518735",,,5.021549056956716,-124.55141133805984,0.8392822255814607,11.282320976028554,23.313448470560886,-37.269324227771975,"3.55","1.63","205","72.7","25","86","2565","6.4",632274,518886,"518735","547989","514917","660162","641313","571740","673357","544725","54.08",,,,,,,,"71","1","Knuckle Curve","8","1","1","8","1","8","1","8","Standard","Standard","63","0","-0.027"
"KC","2021-10-01","85.9","-2.86","4.86","Kimbrel, Craig",570731,518886,"strikeout","swinging_strike_blocked",,,,,"14","Jonathan Schoop strikes out swinging.","R","R","R","CWS","DET","S","2",,"1","2",2021,"1.1","-0.54","1.59","0.00",,,,"0","8","Top",,,,,"518735",,,8.340625540374507,-124.87843842508636,-4.159143893156619,9.890593934773134,24.72998898289486,-37.234083601994136,"3.41","1.56",,,,"86.1","2584","6.5",632274,518886,"518735","547989","514917","660162","641313","571740","673357","544725","54.04",,,"0","1","0","0",,"70","4","Knuckle Curve","8","1","1","8","1","8","1","8","Standard","Standard","60","0.001","-0.173"
"FF","2021-10-01","96.6","-3.05","4.9","Kimbrel, Craig",570731,518886,,"ball",,,,,"12","Jonathan Schoop strikes out swinging.","R","R","R","CWS","DET","B",,,"0","2",2021,"-0.72","1.18","1.17","4.41",,,,"0","8","Top",,,,,"518735",,,12.885375905675946,-140.04194459440143,1.6173605533109432,-12.50918383472324,32.551403072080376,-17.277952959007305,"3.67","1.81",,,,"96.4","2361","6.5",632274,518886,"518735","547989","514917","660162","641313","571740","673357","544725","54.04",,,,,,,,"70","3","4-Seam Fastball","8","1","1","8","1","8","1","8","Standard","Standard","223","0","0.022"
"FF","2021-10-01","96.1","-2.9","4.88","Kimbrel, Craig",570731,518886,,"swinging_strike",,,,,"5","Jonathan Schoop strikes out swinging.","R","R","R","CWS","DET","S",,,"0","1",2021,"-0.79","1.26","0.26","2.72",,,,"0","8","Top",,,,,"518735",,,10.18534643989699,-139.63451405648001,-2.964360730224714,-12.58915785808941,31.26569684803807,-15.246774618570322,"3.41","1.56",,,,"96.4","2362","6.5",632274,518886,"518735","547989","514917","660162","641313","571740","673357","544725","53.97",,,,,,,,"70","2","4-Seam Fastball","8","1","1","8","1","8","1","8","Standard","Standard","221","0","-0.052"
"FF","2021-10-01","96.0","-2.99","4.89","Kimbrel, Craig",570731,518886,,"called_strike",,,,,"6","Jonathan Schoop strikes out swinging.","R","R","R","CWS","DET","S",,,"0","0",2021,"-0.97","1.37","0.29","2.83",,,,"0","8","Top",,,,,"518735",,,10.910810968247995,-139.42721998145987,-2.9547591490042033,-15.047972103092462,30.368410695225585,-13.84088343966913,"3.71","1.75",,,,"96.5","2366","6.6",632274,518886,"518735","547989","514917","660162","641313","571740","673357","544725","53.88",,,,,,,,"70","1","4-Seam Fastball","8","1","1","8","1","8","1","8","Standard","Standard","229","0","-0.038"
"FF","2021-09-26","95.3","-3.14","4.78","Kimbrel, Craig",680911,518886,"strikeout","foul_tip",,,,,"6","Owen Miller strikes out on a foul tip.","R","R","R","CLE","CWS","S","2",,"2","2",2021,"-0.82","1.44","0.52","2.62",,,,"2","8","Bot",,,,,"518735",,,11.512635042353661,-138.32946737434645,-3.256533407655075,-13.122013057393346,30.397770973421792,-13.11814226608985,"3.37","1.53",,,,"95.6","2286","6.6",632330,518886,"518735","657757","544725","660162","641313","650391","571740","683734","53.94",,,"0","1","0","0",,"75","6","4-Seam Fastball","2","5","2","5","5","2","2","5","Standard","Standard","222","-0.008","-0.091"
"KC","2021-09-26","85.5","-3.02","4.84","Kimbrel, Craig",680911,518886,,"ball",,,,,"14","Owen Miller strikes out on a foul tip.","R","R","R","CLE","CWS","B",,,"1","2",2021,"0.73","-0.42","1.29","0.67",,,,"2","8","Bot",,,,,"518735",,,8.694937950181632,-124.36098819074951,-2.7371305921476736,5.976934079402853,23.74054165361049,-36.21223251562662,"3.22","1.33",,,,"85.9","2569","6.4",632330,518886,"518735","657757","544725","660162","641313","650391","571740","683734","54.05",,,,,,,,"75","5","Knuckle Curve","2","5","2","5","5","2","2","5","Standard","Standard","51","0","0.018"
"FF","2021-09-26","95.5","-3.18","4.7","Kimbrel, Craig",680911,518886,,"foul",,,,,"3","Owen Miller strikes out on a foul tip.","R","R","R","CLE","CWS","S",,,"1","2",2021,"-1.15","1.23","0.28","3.33",,,,"2","8","Bot",,,,,"518735",,,11.73652608677987,-138.53455326139695,-0.6977616768974124,-17.41665545626657,31.29237201958325,-16.45207025718164,"3.37","1.53","338","96.0","35","95.9","2350","6.7",632330,518886,"518735","657757","544725","660162","641313","650391","571740","683734","53.8",,,,,,,,"75","4","4-Seam Fastball","2","5","2","5","5","2","2","5","Standard","Standard","232","0","0"
