pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,horizontal_release_point,vertical_release_point
876,623352,"Hader, Josh",964,90.9,0.125,0.057,0.227,0.182,0.202,0.238,0.157,22,176,87.4,22.2,2137,92.1,87.26,145,440,436,-4.8,6.65,110,153,117,148,306,327,302,3.17,5.22
603,543272,"Hand, Brad",1076,56,0.188,0.143,0.213,0.331,0.275,0.321,0.241,25,133,85.6,15.4,2346,87.4,86.04,52,244,359,-1.4,5.57,110,152,115,149,304,323,296,2.46,6.22
747,642397,"Soto, Gregory",1131,66,0.204,0.172,0.24,0.376,0.307,0.317,0.212,32,157,89,13.1,2378,94.7,95.23,101,344,403,0.5,6.76,108,153,118,149,299,328,299,1.98,5.64
709,459429,"McGee, Jake",878,80.8,0.209,0.159,0.24,0.368,0.264,0.287,0.224,38,182,91.8,19.4,2118,93.6,91.82,81,402,307,-1.8,6.12,111,153,113,149,299,322,293,1.94,5.73
948,519293,"Smith, Will",1079,87.9,0.195,0.214,0.25,0.409,0.297,0.281,0.193,43,220,89.5,20.8,2255,96,86.7,160,450,498,0,6.28,107,151,121,146,305,323,292,1.53,6.69
950,547973,"Chapman, Aroldis",1004,94.6,0.175,0.169,0.281,0.344,0.292,0.297,0.175,33,189,87.1,10.6,2166,100,95.01,180,418,532,1.3,7.22,110,153,117,148,300,325,287,0.55,6.12
320,518813,"Holland, Greg",997,32.1,0.296,0.268,0.348,0.563,0.389,0.446,0.31,21,71,92.9,16.7,2181,88.1,87.95,43,148,172,-0.2,6.06,108,156,117,144,300,322,300,-0.19,6.01
359,675916,"Karinchak, James",1032,34.8,0.208,0.208,0.273,0.417,0.322,0.307,0.201,15,72,91,17.2,2279,92,91.67,47,172,187,-0.3,6.01,116,156,116,151,295,321,298,-0.34,6.47
853,519151,"Pressly, Ryan",956,89.2,0.198,0.099,0.279,0.297,0.237,0.255,0.202,42,212,90.2,6.9,2768,90.3,89.88,136,425,428,-0.4,6.13,114,155,117,151,291,322,291,-0.4,6.08
725,661403,"Clase, Emmanuel",1057,68.6,0.202,0.045,0.273,0.247,0.218,0.235,0.209,36,178,86.9,1.2,2565,97.9,98.35,172,395,330,0.5,6.44,115,152,118,150,290,317,291,-0.67,6.17
324,570663,"Robles, Hansel",1185,27.3,0.294,0.279,0.34,0.574,0.404,0.404,0.295,20,68,90.3,11.7,2122,94.4,94.3,30,155,169,-0.1,6.11,111,156,117,149,299,331,299,-0.81,5.37
513,650895,"Castillo, Diego",936,54.8,0.184,0.123,0.257,0.307,0.247,0.24,0.18,21,114,85.7,6,2164,89.6,87.73,86,250,263,-1.9,5.38,109,157,117,148,301,322,294,-0.86,5.73
388,592390,"Hembree, Heath",1090,35.6,0.151,0.164,0.182,0.315,0.269,0.29,0.181,11,73,91.3,22.9,2641,91.3,91.85,46,191,197,0.5,6.6,116,154,119,148,292,318,292,-1.01,5.79
769,621052,"Reyes, Alex",1249,61.6,0.189,0.112,0.245,0.302,0.279,0.288,0.2,32,169,87.2,19.3,2381,91.7,90.33,114,348,421,-1.4,6.02,115,156,117,148,299,323,304,-1.15,6.16
324,608716,"Steckenrider, Drew",1008,32.1,0.181,0.06,0.242,0.241,0.199,0.239,0.221,15,83,89.5,15.7,2226,91.6,90.64,40,176,148,-1,5.97,113,154,112,148,296,326,296,-1.22,6.2
560,517008,"Colomé, Alex",1102,50.8,0.266,0.122,0.318,0.388,0.308,0.333,0.267,37,139,91.1,4,2125,90.7,90.59,71,280,280,-0.1,6.18,107,157,115,148,299,332,295,-1.29,6.35
845,445276,"Jansen, Kenley",1071,78.9,0.152,0.073,0.224,0.225,0.224,0.257,0.184,29,191,83.3,20.1,2540,93.1,92.13,144,431,414,0.9,7.14,115,157,113,150,299,315,291,-1.44,6.39
775,642152,"Trivino, Lou",1177,65.8,0.227,0.093,0.281,0.32,0.288,0.305,0.221,39,172,86.5,12.2,2035,92.5,92.86,82,367,408,0.4,6.6,112,149,116,150,302,329,303,-1.52,5.91
