"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2021-10-03","94.6","-0.69","6.15","Clase, Emmanuel",628451,661403,"field_out","hit_into_play",,,,,"2","Andy Ibanez flies out to right fielder Bradley Zimmer.","R","R","R","TEX","CLE","X","9","fly_ball","0","0",2021,"0.32","0.45","-0.24","3.06",,,,"2","9","Bot",162.53,116.85,,,"595978",,,0.46450873501663537,-137.7300537672341,-3.3781002105204543,3.9364072048197496,31.273844660658334,-25.922580284812653,"3.32","1.51","227","80.1","52","94.9","2650","6.5",632236,661403,"595978","644374","665926","608070","642708","640458","664702","605548","54.03","0.037","0.033","0","1","0","0","3","71","1","Slider","0","6","0","6","6","0","0","6","Strategic","Standard","99","0","-0.103"
"FC","2021-10-03","101.4","-0.45","6.16","Clase, Emmanuel",663993,661403,"strikeout","swinging_strike",,,,,"14","Nathaniel Lowe strikes out swinging.","R","L","R","TEX","CLE","S","2",,"2","2",2021,"0.44","1.02","0.89","1.64",,,,"1","9","Bot",,,,,"595978",,,2.7086891791259373,-147.42713120945962,-9.800012953490016,5.717699641961882,34.73323220071568,-15.242295947356107,"3.55","1.63",,,,"101.7","2615","6.5",632236,661403,"595978","644374","665926","608070","642708","640458","664702","605548","54.04",,,"0","1","0","0",,"70","10","Cutter","0","6","0","6","6","0","0","6","Strategic","Standard","182","-0.001","-0.142"
"SL","2021-10-03","90.5","-0.37","6.22","Clase, Emmanuel",663993,661403,,"ball",,,,,"11","Nathaniel Lowe strikes out swinging.","R","L","R","TEX","CLE","B",,,"1","2",2021,"0.54","0.03","-0.16","5.07",,,,"1","9","Bot",,,,,"595978",,,-0.6303211774678453,-131.758037840699,3.0180423566208883,6.4700399270107765,28.20363488809079,-32.725584168463875,"3.4","1.61",,,,"90.5","2448","6.3",632236,661403,"595978","644374","665926","608070","642708","640458","664702","605548","54.21",,,,,,,,"70","9","Slider","0","6","0","6","6","0","0","6","Strategic","Standard","78","0","0.028"
"FC","2021-10-03","102.1","-0.7","6.21","Clase, Emmanuel",663993,661403,,"foul",,,,,"1","Nathaniel Lowe strikes out swinging.","R","L","R","TEX","CLE","S",,,"1","2",2021,"0.23","0.88","-0.64","2.99",,,,"1","9","Bot",,,,,"595978",,,-0.38278778591672513,-148.720253752722,-5.9643422367806505,3.480023778516681,34.16371730976612,-17.852037712547407,"3.55","1.63","274","94.0","24","102.4","2548","6.3",632236,661403,"595978","644374","665926","608070","642708","640458","664702","605548","54.19",,,,,,,,"70","8","Cutter","0","6","0","6","6","0","0","6","Strategic","Standard","188","0","0"
"SL","2021-10-03","93.8","-0.42","6.15","Clase, Emmanuel",663993,661403,,"foul",,,,,"8","Nathaniel Lowe strikes out swinging.","R","L","R","TEX","CLE","S",,,"1","2",2021,"0.3","-0.26","0.08","1.91",,,,"1","9","Bot",,,,,"595978",,,0.625537486893143,-136.62947955554603,-4.704452771874994,3.7037626501468566,28.41340963651905,-34.635965599907166,"3.55","1.63","1","83.9","-48","94.3","2507","6.4",632236,661403,"595978","644374","665926","608070","642708","640458","664702","605548","54.13",,,,,,,,"70","7","Slider","0","6","0","6","6","0","0","6","Strategic","Standard","88","0","0"
"SL","2021-10-03","93.5","-0.3","6.16","Clase, Emmanuel",663993,661403,,"foul",,,,,"12","Nathaniel Lowe strikes out swinging.","R","L","R","TEX","CLE","S",,,"1","2",2021,"0.55","0.19","1.40","2.95",,,,"1","9","Bot",,,,,"595978",,,3.1799562219460538,-136.2300137865111,-2.9908509446723808,6.237758874362137,28.451074287291622,-29.39194485616402,"3.55","1.63","8","76.5","-21","94.1","2548","6.4",632236,661403,"595978","644374","665926","608070","642708","640458","664702","605548","54.06",,,,,,,,"70","6","Slider","0","6","0","6","6","0","0","6","Strategic","Standard","79","0","0"
"FC","2021-10-03","101.0","-0.43","6.26","Clase, Emmanuel",663993,661403,,"foul",,,,,"12","Nathaniel Lowe strikes out swinging.","R","L","R","TEX","CLE","S",,,"1","2",2021,"0.18","1.08","1.39","2.98",,,,"1","9","Bot",,,,,"595978",,,4.660747650427249,-147.02188251017697,-6.461894506440929,1.6531361702847884,31.289047367172852,-15.167992648055751,"3.55","1.63","20","49.8","-5","101.9","2454","6.5",632236,661403,"595978","644374","665926","608070","642708","640458","664702","605548","53.99",,,,,,,,"70","5","Cutter","0","6","0","6","6","0","0","6","Strategic","Standard","184","0","0"
"FC","2021-10-03","101.0","-0.58","6.22","Clase, Emmanuel",663993,661403,,"foul",,,,,"12","Nathaniel Lowe strikes out swinging.","R","L","R","TEX","CLE","S",,,"1","2",2021,"0.22","0.93","1.27","2.71",,,,"1","9","Bot",,,,,"595978",,,4.662613143353366,-146.9357611862581,-6.675324699710693,2.0532551419621012,34.25530663409184,-17.32329073528993,"3.55","1.63","8","82.4","-18","101.4","2701","6.5",632236,661403,"595978","644374","665926","608070","642708","640458","664702","605548","54.02",,,,,,,,"70","4","Cutter","0","6","0","6","6","0","0","6","Strategic","Standard","173","0","0"
"FC","2021-10-03","101.0","-0.41","6.27","Clase, Emmanuel",663993,661403,,"called_strike",,,,,"8","Nathaniel Lowe strikes out swinging.","R","L","R","TEX","CLE","S",,,"1","1",2021,"0.03","1.18","0.10","1.95",,,,"1","9","Bot",,,,,"595978",,,1.3398187794061014,-146.96563058813484,-9.542324189709769,0.10761745175853478,33.456947612385285,-13.093137788121844,"3.44","1.69",,,,"101.4","2560","6.4",632236,661403,"595978","644374","665926","608070","642708","640458","664702","605548","54.08",,,,,,,,"70","3","Cutter","0","6","0","6","6","0","0","6","Strategic","Standard","188","0","-0.043"
"FC","2021-10-03","101.3","-0.72","6.23","Clase, Emmanuel",663993,661403,,"called_strike",,,,,"9","Nathaniel Lowe strikes out swinging.","R","L","R","TEX","CLE","S",,,"1","0",2021,"0.17","1.19","0.63","1.64",,,,"1","9","Bot",,,,,"595978",,,3.365470480938468,-147.24036373451747,-10.378698703725334,1.7033915545029539,33.0320944901646,-12.604903305763608,"3.19","1.44",,,,"101.5","2700","6.4",632236,661403,"595978","644374","665926","608070","642708","640458","664702","605548","54.14",,,,,,,,"70","2","Cutter","0","6","0","6","6","0","0","6","Strategic","Standard","189","0","-0.032"
