"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2021-10-02","99.0","-1.33","5.88","Hendriks, Liam",663662,521230,"strikeout","swinging_strike",,,,,"11","Daz Cameron strikes out swinging.","R","R","R","CWS","DET","S","2",,"1","2",2021,"-0.6","1.14","-0.06","3.57",,,,"2","9","Top",,,,,"518735",,,4.921549280546211,-144.17921354410325,-3.614155206982973,-9.437778483382532,32.83737355905629,-15.609385203680263,"3.4","1.6",,,,"100.4","2406","7",632265,521230,"518735","547989","544725","660162","641313","571740","673357","641553","53.55",,,"0","1","0","0",,"70","5","4-Seam Fastball","5","4","4","5","4","5","4","5","Standard","Standard","197","0.035","-0.073"
"SL","2021-10-02","89.6","-1.42","5.9","Hendriks, Liam",663662,521230,,"foul",,,,,"7","Daz Cameron strikes out swinging.","R","R","R","CWS","DET","S",,,"1","2",2021,"-0.04","0.05","-0.33","1.85",,,,"2","9","Top",,,,,"518735",,,2.802789398759818,-130.4978481433594,-4.217222052345996,-1.030091868878055,24.521773143318423,-30.991401390656083,"3.4","1.6","1","78.8","-70","90.8","2325","6.8",632265,521230,"518735","547989","544725","660162","641313","571740","673357","641553","53.75",,,,,,,,"70","4","Slider","5","4","4","5","4","5","4","5","Standard","Standard","6","0","0"
"SL","2021-10-02","90.3","-1.41","5.98","Hendriks, Liam",663662,521230,,"swinging_strike",,,,,"14","Daz Cameron strikes out swinging.","R","R","R","CWS","DET","S",,,"1","1",2021,"0.12","0.49","0.73","0.65",,,,"2","9","Top",,,,,"518735",,,5.105375246005588,-131.33964471962202,-8.47269210889205,0.4790096266973446,24.945791287166053,-25.01356934787241,"3.4","1.6",,,,"91.4","2240","6.8",632265,521230,"518735","547989","544725","660162","641313","571740","673357","641553","53.74",,,,,,,,"70","3","Slider","5","4","4","5","4","5","4","5","Standard","Standard","174","0","-0.027"
"SL","2021-10-02","88.3","-1.53","5.91","Hendriks, Liam",663662,521230,,"ball",,,,,"13","Daz Cameron strikes out swinging.","R","R","R","CWS","DET","B",,,"0","1",2021,"0.18","0.26","-0.22","0.77",,,,"2","9","Top",,,,,"518735",,,2.842626154619611,-128.52303813052325,-7.097452363062242,1.524029081361374,23.702750521777762,-28.192816049158168,"3.41","1.6",,,,"89.5","2207","6.8",632265,521230,"518735","547989","544725","660162","641313","571740","673357","641553","53.72",,,,,,,,"70","2","Slider","5","4","4","5","4","5","4","5","Standard","Standard","174","0","0.014"
"SL","2021-10-02","89.9","-1.51","5.92","Hendriks, Liam",663662,521230,,"swinging_strike",,,,,"14","Daz Cameron strikes out swinging.","R","R","R","CWS","DET","S",,,"0","0",2021,"0.29","0.33","1.01","1.81",,,,"2","9","Top",,,,,"518735",,,5.67938911087541,-130.79044549080157,-4.941833684852776,2.166082510267412,27.49931000640248,-27.538110028835877,"3.4","1.6",,,,"90.8","2154","6.8",632265,521230,"518735","547989","544725","660162","641313","571740","673357","641553","53.66",,,,,,,,"70","1","Slider","5","4","4","5","4","5","4","5","Standard","Standard","179","0","-0.018"
"FF","2021-10-02","99.1","-1.4","5.9","Hendriks, Liam",606992,521230,"strikeout","swinging_strike",,,,,"6","Eric Haase strikes out swinging.","R","R","R","CWS","DET","S","2",,"0","2",2021,"-0.46","1.37","0.71","2.45",,,,"1","9","Top",,,,,"518735",,,6.912852825458822,-144.0179403044282,-7.2460458305927,-8.1237416065817,35.32674719174887,-11.622522810372347,"3.3","1.5",,,,"100","2488","7",632265,521230,"518735","547989","544725","660162","641313","571740","673357","641553","53.51",,,"0","1","0","0",,"69","3","4-Seam Fastball","5","4","4","5","4","5","4","5","Standard","Standard","197","0.052","-0.101"
"FF","2021-10-02","98.6","-1.44","5.94","Hendriks, Liam",606992,521230,,"swinging_strike",,,,,"2","Eric Haase strikes out swinging.","R","R","R","CWS","DET","S",,,"0","1",2021,"-0.59","1.28","0.19","3.17",,,,"1","9","Top",,,,,"518735",,,5.8556812726929985,-143.31899408815235,-5.019801688803701,-9.507024621630672,36.74509888724053,-13.673641459866731,"3.3","1.5",,,,"98.9","2499","6.8",632265,521230,"518735","547989","544725","660162","641313","571740","673357","641553","53.72",,,,,,,,"69","2","4-Seam Fastball","5","4","4","5","4","5","4","5","Standard","Standard","198","0","-0.035"
"SL","2021-10-02","89.6","-1.48","5.88","Hendriks, Liam",606992,521230,,"swinging_strike",,,,,"14","Eric Haase strikes out swinging.","R","R","R","CWS","DET","S",,,"0","0",2021,"-0.03","0.19","0.37","1.26",,,,"1","9","Top",,,,,"518735",,,4.675707753219081,-130.39766332643603,-5.898558296524511,-1.269599696004582,25.724774579670196,-29.041220312684057,"3.3","1.5",,,,"90.6","2175","6.8",632265,521230,"518735","547989","544725","660162","641313","571740","673357","641553","53.73",,,,,,,,"69","1","Slider","5","4","4","5","4","5","4","5","Standard","Standard","191","0","-0.027"
"FF","2021-10-02","98.0","-1.54","5.97","Hendriks, Liam",605612,521230,"field_out","hit_into_play",,,,,"5","Harold Castro grounds out, second baseman Leury Garcia to first baseman Jose Abreu.","R","L","R","CWS","DET","X","4","ground_ball","0","0",2021,"-0.37","1.28","0.09","2.41",,,,"0","9","Top",153.11,147.15,,,"518735",,,5.290115347811828,-142.43006881055948,-7.1108739605355975,-6.258667846600661,33.532405393766986,-13.336152542544744,"3.3","1.5","8","90.7","-16","98.6","2544","6.7",632265,521230,"518735","547989","544725","660162","641313","571740","673357","641553","53.76","0.114","0.103","0","1","0","0","2","68","1","4-Seam Fastball","5","4","4","5","4","5","4","5","Standard","Standard","201","0.071","-0.241"
"FF","2021-10-01","98.0","-1.41","5.94","Hendriks, Liam",663662,521230,"strikeout","called_strike",,,,,"8","Daz Cameron called out on strikes.","R","R","R","CWS","DET","S","2",,"3","2",2021,"-0.41","1.62","0.10","2.03",,,,"2","9","Top",,,,,"518735",,,5.087805092923426,-142.47421779370939,-8.905079385001626,-6.78189477439019,32.233900124925604,-8.234577705181664,"3.4","1.6",,,,"99","2463","6.9",632274,521230,"518735","547989","514917","660162","641313","571740","673357","544725","53.62",,,"0","1","0","0",,"78","6","4-Seam Fastball","8","1","1","8","1","8","1","8","Standard","Strategic","202","0","-0.134"
