pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,horizontal_release_point,vertical_release_point
900,518617,"Diekman, Jake",1118,80.5,0.217,0.211,0.287,0.428,0.33,0.327,0.217,39,180,89.1,15.5,2386,91.2,88.51,143,391,509,-2.7,6.34,111,150,120,150,300,326,301,3.27,5.72
944,608718,"Suter, Brent",1221,77.3,0.256,0.163,0.294,0.419,0.319,0.312,0.246,55,215,84.4,6.7,2144,85.9,86.61,93,461,483,0.7,7.12,108,153,118,147,300,324,299,2.82,6.21
851,656945,"Scott, Tanner",1032,82.5,0.249,0.142,0.33,0.391,0.334,0.337,0.241,42,169,90.7,6.9,2620,92.3,92.09,136,373,478,-0.2,6.2,108,151,117,148,300,323,294,2.5,5.53
869,607481,"Bummer, Aaron",962,90.3,0.206,0.053,0.298,0.259,0.266,0.26,0.183,39,189,89,-10.1,2157,91.1,89.8,114,366,503,-1.3,6.07,110,149,112,146,299,318,294,2.39,5.46
777,621345,"Minter, A.J.",876,88.7,0.229,0.124,0.308,0.353,0.288,0.27,0.21,39,170,86.1,11.6,2359,91.7,91.36,124,379,398,-0.3,6.16,108,151,122,147,300,319,292,2.09,5.58
768,592741,"Shreve, Chasen",935,82.1,0.21,0.192,0.226,0.401,0.307,0.308,0.212,35,167,87.6,18.1,1820,86,86.15,89,365,403,0.2,6.53,109,152,119,148,300,320,291,1.9,5.61
869,554431,"Matzek, Tyler",1065,81.6,0.18,0.098,0.256,0.279,0.254,0.263,0.189,33,183,89.2,14.2,2584,92.8,92.67,131,432,437,-0.1,6.33,106,151,121,147,301,319,293,1.86,6.24
783,605177,"Chafin, Andrew",947,82.7,0.181,0.101,0.221,0.281,0.23,0.257,0.192,36,199,86.8,12.9,2195,89.5,89.23,103,397,386,-0.3,6.67,109,154,116,150,298,324,298,1.53,6.34
878,641394,"Brentz, Jake",1106,79.4,0.203,0.144,0.262,0.348,0.288,0.307,0.222,38,187,87.8,6.1,2164,92.9,92.57,116,395,483,-0.3,6.43,107,156,116,145,299,322,299,1.44,5.16
1047,650893,"Cabrera, Génesis",1195,87.6,0.2,0.102,0.281,0.302,0.284,0.292,0.201,43,215,87,13.3,2224,93.1,92.38,133,492,555,-0.7,6.03,113,153,118,147,297,317,296,1.25,6.09
813,621237,"Alvarado, José",1045,77.8,0.212,0.099,0.289,0.311,0.324,0.321,0.202,32,151,87.8,1.6,2115,98.1,99.02,105,325,488,0.9,6.83,106,149,112,145,295,321,291,0.9,6.46
870,573204,"Thielbar, Caleb",1106,78.7,0.242,0.189,0.317,0.432,0.315,0.307,0.221,46,190,85.9,19.7,2350,84.2,84.05,104,416,454,-0.2,6.28,105,154,115,147,299,329,295,0.59,6.01
804,476595,"Luetge, Lucas",1241,64.8,0.251,0.109,0.316,0.361,0.287,0.301,0.261,46,183,86.8,15.5,2627,84.6,84.4,106,400,404,-0.2,6.3,107,152,118,145,298,323,285,0.44,6.16
950,592773,"Stanek, Ryne",1166,81.5,0.18,0.115,0.24,0.295,0.268,0.3,0.198,36,200,90.7,18.1,2006,93.5,92.92,156,441,509,-0.6,6.09,112,155,117,150,293,322,292,-0.52,6.25
990,641755,"Kinley, Tyler",1143,86.6,0.224,0.184,0.256,0.408,0.304,0.297,0.223,50,223,88.4,18.1,2478,92.6,91.01,147,510,479,-1.6,5.58,110,151,120,147,299,328,303,-0.65,6.65
800,542914,"Bass, Anthony",959,83.4,0.226,0.142,0.267,0.368,0.284,0.314,0.247,43,190,87.8,9.8,2081,90.6,90.37,98,363,437,-0.2,6.3,105,150,116,148,302,319,287,-0.88,5.88
829,605280,"Holmes, Clay",1124,73.8,0.219,0.078,0.302,0.297,0.27,0.26,0.197,42,192,87.3,-9.6,2343,92.1,91.53,99,348,481,-0.6,6.11,110,152,118,148,299,321,289,-1,6.43
907,543507,"May, Trevor",1117,81.2,0.245,0.209,0.325,0.454,0.323,0.268,0.193,48,196,88.6,18,2305,91.9,93.04,155,467,440,1.1,6.99,113,155,115,148,302,326,299,-1.02,5.78
