pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,horizontal_release_point,vertical_release_point
1893,571760,"Heaney, Andrew",2330,81.2,0.236,0.231,0.273,0.467,0.327,0.295,0.214,95,403,88.9,18.6,2399,87.6,87.03,265,916,977,-0.6,6.11,111,155,118,147,303,325,293,3.41,5.31
2566,640455,"Manaea, Sean",2980,86.1,0.256,0.157,0.324,0.414,0.309,0.316,0.256,153,597,89.9,12.3,1848,89,90.03,364,1317,1249,1,7.18,110,151,120,150,301,326,299,3.31,5.65
1971,518516,"Bumgarner, Madison",2294,85.9,0.247,0.192,0.28,0.439,0.315,0.322,0.247,116,469,88.6,18.8,2318,85.7,85.77,215,970,1001,0.1,6.55,109,153,118,149,300,327,296,3.26,5.7
2306,669373,"Skubal, Tarik",2547,90.5,0.237,0.239,0.269,0.477,0.329,0.355,0.263,122,514,90,14.3,2033,89.5,89.16,305,1134,1172,-0.3,6.21,107,153,118,148,301,327,297,2.97,6.34
2155,642232,"Yarbrough, Ryan",2488,86.6,0.282,0.207,0.31,0.489,0.344,0.332,0.279,147,521,83.9,16.5,2081,79.6,79.49,224,1052,1103,-0.1,6.63,105,152,116,149,299,322,291,2.93,5.12
1226,676596,"Fleming, Josh",1629,75.3,0.274,0.142,0.313,0.416,0.317,0.309,0.26,83,303,85.3,1.4,1765,87.1,87.18,125,608,618,0.1,6.44,104,153,115,149,304,319,290,2.59,5.5
2518,592662,"Ray, Robbie",3141,80.2,0.19,0.166,0.244,0.355,0.263,0.283,0.211,109,574,90.4,17.4,2217,92,92.02,422,1306,1212,0,6.42,106,154,121,147,298,319,289,2.55,6.06
1003,624133,"Suárez, Ranger",1614,62.1,0.207,0.052,0.273,0.259,0.243,0.255,0.211,48,232,86.6,5.1,1805,90.9,90.54,122,466,537,-0.4,6.16,106,151,112,147,297,322,287,2.47,5.91
2174,452657,"Lester, Jon",2380,91.3,0.282,0.187,0.298,0.469,0.347,0.341,0.273,143,507,87.3,9.4,2130,85.3,85.76,204,1008,1166,0.5,6.44,108,152,116,147,303,321,294,2.47,5.84
1527,669211,"Akin, Keegan",1768,86.4,0.28,0.211,0.316,0.491,0.36,0.35,0.258,90,322,89.8,16.3,2239,88,87.17,163,758,769,-0.8,5.9,107,152,120,148,298,325,293,2.44,5.83
1297,660761,"Suarez, José",1650,78.6,0.213,0.129,0.254,0.341,0.279,0.303,0.24,61,287,86.1,9.3,2142,86.4,85.81,158,605,692,-0.6,6.16,111,154,116,148,302,326,295,2.42,5.29
1985,594835,"Gonzales, Marco",2324,85.4,0.241,0.243,0.246,0.483,0.331,0.344,0.259,109,453,87.5,19.4,2169,84.2,84.28,187,928,1057,0.1,6.38,108,153,114,147,297,319,289,2.4,5.69
2269,542881,"Anderson, Tyler",2602,87.2,0.26,0.193,0.283,0.452,0.317,0.313,0.256,147,566,84.8,16.9,2229,86.5,85.9,283,1223,1046,-0.6,5.97,107,152,116,147,299,320,286,2.37,5.91
1071,571510,"Boyd, Matthew",1273,84.1,0.25,0.123,0.298,0.373,0.302,0.305,0.238,63,252,86.8,15.8,2251,85.5,85.26,122,545,526,-0.2,6.2,103,152,118,146,301,328,297,2.26,5.75
2189,579328,"Kikuchi, Yusei",2562,85.4,0.239,0.196,0.28,0.435,0.324,0.349,0.26,121,506,91.2,7.8,2192,90.5,91.23,276,1044,1145,0.7,6.68,109,153,115,147,301,325,290,2.24,5.66
1472,666200,"Luzardo, Jesús",1727,85.2,0.28,0.217,0.332,0.497,0.363,0.34,0.252,90,322,88.6,12.8,2160,90.1,88.24,196,690,782,-1.9,5.57,106,149,117,149,301,319,286,2.23,5.86
2337,571578,"Corbin, Patrick",2750,85,0.278,0.198,0.314,0.476,0.348,0.355,0.283,157,565,87.2,7.6,2131,87.2,87.84,286,1114,1223,0.6,6.73,107,151,115,147,304,322,290,2.23,6.4
2236,547943,"Ryu, Hyun Jin",2689,83.2,0.257,0.179,0.293,0.436,0.312,0.317,0.257,142,553,88.9,10.6,1918,84.4,84.53,240,1063,1173,0.1,6.47,106,154,117,148,299,317,290,2.21,5.87
1461,663465,"Allard, Kolby",2054,71.1,0.246,0.193,0.258,0.439,0.309,0.324,0.255,88,358,88.3,14.1,2017,87.2,86.81,142,711,750,-0.4,6.08,111,155,122,146,302,325,293,2.2,5.53
1945,669432,"Rogers, Trevor",2169,89.7,0.214,0.085,0.307,0.3,0.263,0.283,0.224,93,434,86.5,11.9,2051,90,90.35,296,964,981,0.3,6.66,106,149,115,148,299,315,284,2.19,5.83
1946,607074,"Rodón, Carlos",2219,87.7,0.191,0.13,0.272,0.321,0.253,0.256,0.19,81,424,88.4,17.9,2251,91,90.53,331,981,965,-0.5,6.08,108,150,113,148,299,319,295,2.12,6.59
1136,641302,"Alexander, Tyler",1640,69.3,0.259,0.178,0.291,0.437,0.316,0.314,0.254,74,286,88,18.8,2085,86.7,86.81,110,565,571,0.1,6.22,107,154,119,148,297,325,295,2.06,5.8
1881,622072,"Wood, Alex",2195,85.7,0.22,0.112,0.288,0.332,0.277,0.295,0.233,100,455,88.9,6.6,2007,88,87.07,249,893,988,-0.9,6.26,109,153,113,148,299,322,291,2.04,4.92
2123,605483,"Snell, Blake",2347,90.5,0.22,0.164,0.303,0.383,0.313,0.34,0.236,94,428,88.2,10.9,2315,90.3,90.8,292,935,1188,0.5,6.78,112,152,124,146,301,323,311,1.97,6.6
1624,596295,"Gomber, Austin",1851,87.7,0.246,0.181,0.288,0.427,0.318,0.315,0.245,95,386,87.5,11.9,2100,86.1,86.29,188,751,873,0.2,6.64,108,153,119,146,299,329,300,1.92,6.69
1942,592767,"Smyly, Drew",2139,90.8,0.262,0.213,0.295,0.475,0.337,0.339,0.263,117,446,87.4,14.5,2079,86.1,85.31,247,971,971,-0.8,5.74,107,151,122,146,303,319,291,1.9,6.6
2296,571927,"Matz, Steven",2557,89.8,0.262,0.135,0.32,0.396,0.311,0.307,0.254,140,535,87.6,8.7,2220,89.1,89.21,242,1074,1222,0.1,6.44,106,154,118,148,296,318,287,1.89,5.78
2389,457918,"Happ, J.A.",2674,89.3,0.289,0.24,0.314,0.529,0.368,0.356,0.272,159,550,89.7,16.4,2175,88.6,88.36,221,1146,1243,-0.2,6.07,106,154,116,147,299,327,295,1.86,6.23
1672,607536,"Freeland, Kyle",1886,88.7,0.284,0.202,0.326,0.486,0.352,0.313,0.243,118,416,87.1,11.7,2239,87.1,87.8,163,765,907,0.7,6.5,108,152,120,145,298,327,300,1.82,5.66
1432,677960,"Weathers, Ryan",1617,88.6,0.293,0.227,0.311,0.52,0.369,0.355,0.283,94,321,89,10.6,2079,91.1,90.21,120,644,788,-0.9,5.74,113,153,127,145,301,323,311,1.81,5.65
